Recipe_ID,Recipe_Name,Category,Cuisine,Ingredients,Main_Ingredient,Meal_Type,Difficulty_Level,Preparation_Time_Min,Calories_kcal,Target_Country,Validation_Source
12,Idli,Bakery,Indian,"Rice Batter, Urad Dal",Idli,Breakfast,Medium,20,668,India,Authentic Recipe
13,Chapati,Bakery,Indian,"Flour, Water, Salt, Oil",Chapati,Breakfast,Medium,31,355,India,Authentic Recipe
14,Appam,Bakery,Indian,"Rice Batter, Coconut Milk, Yeast",Appam,Dinner,Hard,56,607,India,Authentic Recipe
15,Puttu,Bakery,Indian,"Flour, Grated Coconut, Water",Puttu,Dinner,Medium,22,527,India,Authentic Recipe
16,Fish Fry,Protein,Indian,"Fish, Chili Powder, Turmeric, Black Pepper, Ginger-Garlic Paste, Lemon Juice",Fish,Dinner,Easy,30,525,India,Authentic Recipe
17,Poratta,Bakery,Indian,"Flour, Milk, Egg, Sugar, Ghee",Poratta,Snack,Easy,26,514,India,Authentic Recipe
18,Fish Curry,Protein,Indian,"Fish, Tamarind, Coconut, Ginger, Green Chilies, Curry Leaves, Spices",Fish,Dinner,Hard,54,675,India,Authentic Recipe
19,Paalpayasam,Dairy,Indian,"Paalpayasam, Milk, Sugar, Cardamom, Cashews",Paalpayasam,Snack,Medium,60,207,India,Authentic Recipe
20,Semiya Payasam,Dairy,Indian,"Vermicelli, Milk, Sugar, Ghee, Cardamom, Raisins",Semiya,Snack,Easy,44,358,India,Authentic Recipe
21,Adapradaman Payasam,Dairy,Indian,"Rice Flakes, Jaggery, Coconut Milk, Cardamom, Ginger Powder",Adapradaman,Snack,Easy,47,503,India,Authentic Recipe
22,Chocolate Barfi,Dairy,Indian,"Milk Powder, Cocoa Powder, Sugar, Ghee, Cardamom",Chocolate,Lunch,Easy,38,338,India,Authentic Recipe
23,Peda,Dairy,Indian,"Milk (Khoya), Sugar, Cardamom, Pistachios",Peda,Lunch,Hard,50,238,India,Authentic Recipe
24,Malai Kulfi,Dairy,Indian,"Full Cream Milk, Sugar, Cardamom, Saffron, Nuts",Malai,Dinner,Hard,21,444,India,Authentic Recipe
25,Ice Cream,Dairy,Indian,"Ice, Milk, Sugar, Vanilla Extract",Ice,Breakfast,Easy,49,476,India,Authentic Recipe
26,Mango Lassi,Dairy,Indian,"Curd, Mango Pulp, Sugar, Cardamom",Mango,Breakfast,Medium,30,307,India,Authentic Recipe
27,Badam Milk,Dairy,Indian,"Badam, Almonds, Saffron, Sugar, Cardamom",Badam,Lunch,Medium,34,379,India,Authentic Recipe
28,Homemade Yogurt,Dairy,Indian,"Milk, Live Culture (Starter)",Homemade,Dinner,Medium,36,598,India,Authentic Recipe
29,Paneer Butter Masala,Dairy,Indian,"paneer, butter, tomato, cream, spices",Paneer,Breakfast,Easy,51,238,India,Authentic Recipe
30,Palak Paneer,Dairy,Indian,"Paneer, Palak, Spinach, Spices, Ginger, Cream",Palak,Breakfast,Easy,34,217,India,Authentic Recipe
31,Matar Paneer,Dairy,Indian,"Paneer, Matar, Green Peas, Onion, Tomato, Spices",Matar,Lunch,Easy,40,574,India,Authentic Recipe
32,Rasmalai,Dairy,Indian,"Paneer (Chhena), Milk, Sugar, Saffron, Pistachios",Rasmalai,Snack,Hard,60,366,India,Authentic Recipe
33,Chicken Biryani,Protein,Indian,"Marinated chicken, Aged basmati rice, Ghee, Onions, Yogurt, Ginger-Garlic paste, Mint, Coriander leaves, Green chilies, Saffron, Whole spices",Chicken,Dinner,Hard,90,650,India,Standard Recipe
34,Authentic Flour,Grains/Legumes,Indian,"Authentic, Spices, Vegetables, Oil",Authentic,Snack,Easy,47,245,India,AI Enhanced Database
35,Gourmet Homemade Yogurt,Dairy,Chinese,"Milk, Live Culture (Starter)",Yogurt,Breakfast,Medium,42,695,India,AI Enhanced Database
36,Rava Idli,Bakery,Indian,"Rava, Basic Spices, Oil, Salt",Idli,Dinner,Easy,57,655,India,Authentic Culinary Database
37,Butter Kulcha,Bakery,Indian,"Butter, Basic Spices, Oil, Salt",Butter,Snack,Easy,39,314,India,Authentic Culinary Database
38,Vada,Grains/Legumes,Indian,"Vada, Basic Spices, Oil, Salt",Vada,Breakfast,Easy,56,170,India,Authentic Culinary Database
39,Dim Sum,Grains/Legumes,Chinese,"Dim, Basic Spices, Oil, Salt",Dim,Dinner,Hard,50,592,India,Authentic Culinary Database
40,Spring Rolls,Produce,Chinese,"Spring, Basic Spices, Oil, Salt",Spring,Breakfast,Hard,30,507,India,Authentic Culinary Database
41,Pasta Carbonara,Grains/Legumes,Italian,"Pasta, Basic Spices, Oil, Salt",Pasta,Dinner,Hard,40,547,India,Authentic Culinary Database
42,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Snack,Easy,60,586,India,Authentic Culinary Database
43,Garlic Naan,Bakery,Indian,"Flour, Garlic, Butter, Yeast",Naan,Breakfast,Medium,29,258,India,Authentic Culinary Database
44,Vada,Grains/Legumes,Indian,"Vada, Basic Spices, Oil, Salt",Vada,Lunch,Hard,33,324,India,Authentic Culinary Database
45,BBQ Ribs,Grains/Legumes,American,"BBQ, Basic Spices, Oil, Salt",BBQ,Breakfast,Easy,35,618,India,Authentic Culinary Database
46,Drumstick Curry,Produce,Indian,"Drumstick, Basic Spices, Oil, Salt",Drumstick,Breakfast,Hard,34,610,India,Authentic Culinary Database
47,Butter Kulcha,Bakery,Indian,"Butter, Basic Spices, Oil, Salt",Butter,Dinner,Easy,40,638,India,Authentic Culinary Database
48,Pesarattu,Bakery,Indian,"Pesarattu, Basic Spices, Oil, Salt",Pesarattu,Dinner,Medium,25,312,India,Authentic Culinary Database
49,Guacamole,Dairy,Mexican,"Guacamole, Basic Spices, Oil, Salt",Guacamole,Breakfast,Hard,40,499,India,Authentic Culinary Database
50,Beef Enchiladas,Bakery,Mexican,"Beef, Basic Spices, Oil, Salt",Beef,Snack,Medium,15,526,India,Authentic Culinary Database
51,Moong Dal Payasam,Grains/Legumes,Indian,"Moong Dal, Basic Spices, Oil, Salt",Moong Dal,Dinner,Easy,30,515,India,Authentic Culinary Database
52,Dal Khichdi,Grains/Legumes,Indian,"Dal, Basic Spices, Oil, Salt",Dal,Lunch,Hard,44,626,India,Authentic Culinary Database
53,Kung Pao Chicken,Grains/Legumes,Chinese,"Kung Pao, Peanuts, Soy Sauce, Chili",Kung Pao,Snack,Medium,28,699,India,Authentic Culinary Database
54,Fish Moilee,Protein,Indian,"Fish, Basic Spices, Oil, Salt",Fish,Lunch,Easy,27,394,India,Authentic Culinary Database
55,Lemon Rice,Grains/Legumes,Indian,"Basmati Rice,Lemon, Basic Spices, Oil, Salt",Rice,Dinner,Easy,48,674,India,Authentic Culinary Database
56,Vegetable Pulao,Grains/Legumes,Indian,"Basmati Rice, Mixed Vegetables, Whole Spices",Pulao,Dinner,Easy,25,258,India,Authentic Culinary Database
57,Tandoori Chicken,Protein,Indian,"Tandoori, Basic Spices, Oil, Salt",Tandoori,Lunch,Easy,55,307,India,Authentic Culinary Database
58,Tiramisu,Dairy,Italian,"Tiramisu, Basic Spices, Oil, Salt",Tiramisu,Lunch,Medium,21,406,India,Authentic Culinary Database
59,Moong Dal Payasam,Grains/Legumes,Indian,"Moong Dal, Basic Spices, Oil, Salt",Moong Dal,Snack,Medium,19,271,India,Authentic Culinary Database
60,Pasta Carbonara,Protein,Italian,"Pasta, Basic Spices, Oil, Salt",Pasta,Breakfast,Easy,16,312,India,Authentic Culinary Database
61,Neer Dosa,Bakery,Indian,"Neer, Basic Spices, Oil, Salt",Dosa,Breakfast,Medium,17,580,India,Authentic Culinary Database
62,Spring Rolls,Protein,Chinese,"Spring, Basic Spices, Oil, Salt",Spring,Lunch,Hard,41,624,India,Authentic Culinary Database
63,Dal Tadka,Produce,Indian,"Dal, Basic Spices, Oil, Salt",Dal,Lunch,Hard,49,465,India,Authentic Culinary Database
64,Margherita Pizza,Protein,Italian,"Flour, Tomato Sauce, Mozzarella Cheese, Basil",Pizza,Dinner,Hard,52,191,India,Authentic Culinary Database
65,Rajma Masala,Grains/Legumes,Indian,"Rajma, Basic Spices, Oil, Salt",Rajma,Snack,Easy,36,597,India,Authentic Culinary Database
66,Fried Rice,Dairy,Chinese,"Fried, Basic Spices, Oil, Salt",Rice,Breakfast,Easy,47,386,India,Authentic Culinary Database
67,Apple Pie,Grains/Legumes,American,"Apple, Basic Spices, Oil, Salt",Apple,Breakfast,Easy,37,552,India,Authentic Culinary Database
68,Kashmiri Pulao,Grains/Legumes,Indian,"Kashmiri, Basic Spices, Oil, Salt",Pulao,Breakfast,Medium,29,466,India,Authentic Culinary Database
69,Butter Chicken,Protein,Indian,"Butter, Tomato Puree, Butter, Cream, Spices",Butter,Lunch,Easy,18,485,India,Authentic Culinary Database
70,Pasta Carbonara,Grains/Legumes,Italian,"Pasta, Basic Spices, Oil, Salt",Pasta,Lunch,Medium,58,344,India,Authentic Culinary Database
71,Tandoori Chicken,Protein,Indian,"Tandoori, Basic Spices, Oil, Salt",Tandoori,Dinner,Medium,51,249,India,Authentic Culinary Database
72,Dim Sum,Protein,Chinese,"Dim, Basic Spices, Oil, Salt",Dim,Dinner,Easy,35,202,India,Authentic Culinary Database
73,Neer Dosa,Bakery,Indian,"Neer, Basic Spices, Oil, Salt",Dosa,Snack,Hard,19,488,India,Authentic Culinary Database
74,Rajma Masala,Grains/Legumes,Indian,"Rajma, Basic Spices, Oil, Salt",Rajma,Lunch,Medium,42,647,India,Authentic Culinary Database
75,Spring Rolls,Protein,Chinese,"Spring, Basic Spices, Oil, Salt",Spring,Lunch,Easy,22,156,India,Authentic Culinary Database
76,Mapo Tofu,Bakery,Chinese,"Mapo, Basic Spices, Oil, Salt",Mapo,Breakfast,Easy,17,277,India,Authentic Culinary Database
77,Chow Mein,Grains/Legumes,Chinese,"Chow, Basic Spices, Oil, Salt",Chow,Breakfast,Medium,27,464,India,Authentic Culinary Database
78,Butter Kulcha,Bakery,Indian,"Butter, Basic Spices, Oil, Salt",Butter,Breakfast,Medium,44,562,India,Authentic Culinary Database
79,Basundi,Dairy,Indian,"Basundi, Basic Spices, Oil, Salt",Basundi,Breakfast,Easy,17,154,India,Authentic Culinary Database
80,Chow Mein,Grains/Legumes,Chinese,"Chow, Basic Spices, Oil, Salt",Chow,Snack,Hard,27,297,India,Authentic Culinary Database
81,Hot Dog,Grains/Legumes,American,"Hot, Basic Spices, Oil, Salt",Hot,Lunch,Hard,56,617,India,Authentic Culinary Database
82,Rajma Masala,Grains/Legumes,Indian,"Rajma, Basic Spices, Oil, Salt",Rajma,Lunch,Hard,51,456,India,Authentic Culinary Database
83,Basundi,Dairy,Indian,"Basundi, Basic Spices, Oil, Salt",Basundi,Dinner,Medium,48,247,India,Authentic Culinary Database
84,Chicken Tacos,Protein,Mexican,"Tortilla, Chicken, Salsa, Lettuce, Cheese",Tacos,Lunch,Easy,55,461,India,Authentic Culinary Database
85,Medu Vada,Grains/Legumes,Indian,"Medu, Basic Spices, Oil, Salt",Medu,Lunch,Hard,24,688,India,Authentic Culinary Database
86,Lamb Korma,Protein,Indian,"Lamb, Basic Spices, Oil, Salt",Lamb,Breakfast,Hard,57,506,India,Authentic Culinary Database
87,Pasta Carbonara,Bakery,Italian,"Pasta, Basic Spices, Oil, Salt",Pasta,Snack,Easy,42,557,India,Authentic Culinary Database
88,Bhatura,Bakery,Indian,"Bhatura, Basic Spices, Oil, Salt",Bhatura,Dinner,Medium,36,267,India,Authentic Culinary Database
89,Fried Rice,Grains/Legumes,Chinese,"Fried, Basic Spices, Oil, Salt",Rice,Breakfast,Medium,56,666,India,Authentic Culinary Database
90,Missi Roti,Bakery,Indian,"Missi, Basic Spices, Oil, Salt",Missi,Snack,Easy,27,350,India,Authentic Culinary Database
91,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Breakfast,Easy,20,620,India,Authentic Culinary Database
92,Black Chana Curry,Grains/Legumes,Indian,"Black Chana, Basic Spices, Oil, Salt",Black,Snack,Hard,18,547,India,Authentic Culinary Database
93,Aloo Paratha,Bakery,Indian,"Aloo, Basic Spices, Oil, Salt",Paratha,Lunch,Medium,30,694,India,Authentic Culinary Database
94,Chicken Saag,Protein,Indian,"Chicken, Basic Spices, Oil, Salt",Chicken,Snack,Easy,39,526,India,Authentic Culinary Database
95,Dim Sum,Protein,Chinese,"Dim, Basic Spices, Oil, Salt",Dim,Lunch,Hard,50,269,India,Authentic Culinary Database
96,Dal Khichdi,Grains/Legumes,Indian,"Dal, Basic Spices, Oil, Salt",Dal,Breakfast,Medium,48,203,India,Authentic Culinary Database
97,Dal Khichdi,Grains/Legumes,Indian,"Dal, Basic Spices, Oil, Salt",Dal,Snack,Hard,26,288,India,Authentic Culinary Database
98,Chow Mein,Grains/Legumes,Chinese,"Chow, Basic Spices, Oil, Salt",Chow,Lunch,Easy,19,544,India,Authentic Culinary Database
99,Jeera Aloo,Produce,Indian,"Jeera, Basic Spices, Oil, Salt",Jeera,Dinner,Easy,34,280,India,Authentic Culinary Database
100,BBQ Ribs,Protein,American,"BBQ, Basic Spices, Oil, Salt",BBQ,Breakfast,Medium,60,659,India,Authentic Culinary Database
101,Spring Rolls,Dairy,Chinese,"Spring, Basic Spices, Oil, Salt",Spring,Lunch,Easy,50,348,India,Authentic Culinary Database
102,Goan Fish Curry,Protein,Indian,"Goan Fish, Basic Spices, Oil, Salt",Goan,Snack,Easy,54,187,India,Authentic Culinary Database
103,Dim Sum,Protein,Chinese,"Dim, Basic Spices, Oil, Salt",Dim,Lunch,Easy,47,563,India,Authentic Culinary Database
104,Dal Tadka,Produce,Indian,"Dal, Basic Spices, Oil, Salt",Dal,Dinner,Hard,28,484,India,Authentic Culinary Database
105,Vada Pav (Bun),Bakery,Indian,"Vada, Potato Fritter, Spicy Chutney",(Bun),Snack,Medium,52,503,India,Authentic Culinary Database
106,Pesarattu,Bakery,Indian,"Pesarattu, Basic Spices, Oil, Salt",Pesarattu,Lunch,Medium,57,348,India,Authentic Culinary Database
107,Kadai Paneer,Dairy,Indian,"Paneer, Kadai, Basic Spices, Oil, Salt",Kadai,Breakfast,Medium,43,330,India,Authentic Culinary Database
108,Prawn Roast,Protein,Indian,"Prawn, Basic Spices, Oil, Salt",Prawn,Lunch,Hard,50,447,India,Authentic Culinary Database
109,Butter Chicken,Protein,Indian,"Butter, Tomato Puree, Butter, Cream, Spices",Butter,Breakfast,Medium,29,206,India,Authentic Culinary Database
110,Dal Tadka,Produce,Indian,"Dal, Basic Spices, Oil, Salt",Dal,Dinner,Easy,55,471,India,Authentic Culinary Database
111,Bisi Bele Bath,Grains/Legumes,Indian,"Bisi Bele, Basic Spices, Oil, Salt",Bisi Bele,Snack,Easy,35,187,India,Authentic Culinary Database
112,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Lunch,Easy,15,150,India,Authentic Culinary Database
113,Dim Sum,Grains/Legumes,Chinese,"Dim, Basic Spices, Oil, Salt",Dim,Snack,Medium,40,563,India,Authentic Culinary Database
114,Neer Dosa,Bakery,Indian,"Neer, Basic Spices, Oil, Salt",Dosa,Breakfast,Easy,43,697,India,Authentic Culinary Database
115,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Breakfast,Hard,54,223,India,Authentic Culinary Database
116,Jeera Rice,Grains/Legumes,Indian,"Basmati Rice, Cumin Seeds, Ghee",Rice,Breakfast,Hard,33,660,India,Authentic Culinary Database
117,Rajma Masala,Grains/Legumes,Indian,"Rajma, Basic Spices, Oil, Salt",Rajma,Dinner,Easy,20,409,India,Authentic Culinary Database
118,Avial,Produce,Indian,"Avial, Basic Spices, Oil, Salt",Avial,Breakfast,Easy,59,633,India,Authentic Culinary Database
119,Dim Sum,Bakery,Chinese,"Dim, Basic Spices, Oil, Salt",Dim,Snack,Easy,27,159,India,Authentic Culinary Database
120,Pongal,Grains/Legumes,Indian,"Pongal, Basic Spices, Oil, Salt",Pongal,Lunch,Hard,30,408,India,Authentic Culinary Database
121,Mapo Tofu,Produce,Chinese,"Mapo, Basic Spices, Oil, Salt",Mapo,Snack,Easy,42,573,India,Authentic Culinary Database
122,Fish Moilee,Protein,Indian,"Fish, Basic Spices, Oil, Salt",Fish,Lunch,Hard,16,396,India,Authentic Culinary Database
123,Hot Dog,Dairy,American,"Hot, Basic Spices, Oil, Salt",Hot,Snack,Easy,41,514,India,Authentic Culinary Database
124,Bisi Bele Bath,Grains/Legumes,Indian,"Bisi Bele, Basic Spices, Oil, Salt",Bisi Bele,Snack,Hard,54,545,India,Authentic Culinary Database
125,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Lunch,Medium,35,683,India,Authentic Culinary Database
126,Buttermilk (Chaas),Dairy,Indian,"Buttermilk, Basic Spices, Oil, Salt",Buttermilk,Snack,Easy,45,321,India,Authentic Culinary Database
127,Shrikhand,Dairy,Indian,"Hung Curd, Sugar, Saffron, Cardamom",Shrikhand,Lunch,Medium,35,342,India,Authentic Culinary Database
128,Butter Kulcha,Bakery,Indian,"Butter, Basic Spices, Oil, Salt",Butter,Breakfast,Hard,53,399,India,Authentic Culinary Database
129,Dal Makhani,Produce,Indian,"Black Lentils, Kidney Beans, Butter, Cream, Spices",Makhani,Snack,Easy,17,347,India,Authentic Culinary Database
130,Pancakes,Grains/Legumes,American,"Pancakes, Basic Spices, Oil, Salt",Pancakes,Snack,Easy,22,223,India,Authentic Culinary Database
131,Black Chana Curry,Grains/Legumes,Indian,"Black Chana, Basic Spices, Oil, Salt",Black,Breakfast,Hard,21,237,India,Authentic Culinary Database
132,Butter Chicken,Protein,Indian,"Butter, Tomato Puree, Butter, Cream, Spices",Butter,Lunch,Hard,32,550,India,Authentic Culinary Database
133,Rava Idli,Bakery,Indian,"Rava, Basic Spices, Oil, Salt",Idli,Dinner,Medium,19,366,India,Authentic Culinary Database
134,Butter Chicken,Protein,Indian,"Butter, Tomato Puree, Butter, Cream, Spices",Butter,Lunch,Easy,20,415,India,Authentic Culinary Database
135,Risotto,Dairy,Italian,"Risotto, Basic Spices, Oil, Salt",Risotto,Snack,Medium,54,235,India,Authentic Culinary Database
136,Bruschetta,Protein,Italian,"Bruschetta, Basic Spices, Oil, Salt",Bruschetta,Dinner,Easy,28,551,India,Authentic Culinary Database
137,Pancakes,Grains/Legumes,American,"Pancakes, Basic Spices, Oil, Salt",Pancakes,Dinner,Easy,55,585,India,Authentic Culinary Database
138,Neer Dosa,Bakery,Indian,"Neer, Basic Spices, Oil, Salt",Dosa,Dinner,Hard,15,636,India,Authentic Culinary Database
139,Jeera Rice,Grains/Legumes,Indian,"Basmati Rice, Cumin Seeds, Ghee",Rice,Breakfast,Hard,15,157,India,Authentic Culinary Database
140,Curd Rice,Grains/Legumes,Indian,"Curd, Basic Spices, Oil, Salt",Rice,Lunch,Medium,22,555,India,Authentic Culinary Database
141,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Breakfast,Medium,26,193,India,Authentic Culinary Database
142,Malabar Fish Curry,Protein,Indian,"Malabar Fish, Basic Spices, Oil, Salt",Malabar,Snack,Hard,46,618,India,Authentic Culinary Database
143,Kung Pao Chicken,Protein,Chinese,"Kung Pao, Peanuts, Soy Sauce, Chili",Kung Pao,Lunch,Easy,42,219,India,Authentic Culinary Database
144,Tandoori Chicken,Protein,Indian,"Tandoori, Basic Spices, Oil, Salt",Tandoori,Dinner,Easy,39,200,India,Authentic Culinary Database
145,Chow Mein,Grains/Legumes,Chinese,"Chow, Basic Spices, Oil, Salt",Chow,Snack,Hard,37,324,India,Authentic Culinary Database
146,Medu Vada,Grains/Legumes,Indian,"Medu, Basic Spices, Oil, Salt",Medu,Snack,Easy,48,574,India,Authentic Culinary Database
147,Garlic Naan,Bakery,Indian,"Flour, Garlic, Butter, Yeast",Naan,Breakfast,Easy,51,510,India,Authentic Culinary Database
148,Rajma Masala,Grains/Legumes,Indian,"Rajma, Basic Spices, Oil, Salt",Rajma,Lunch,Medium,39,551,India,Authentic Culinary Database
149,Keema Matar,Protein,Indian,"Keema, Basic Spices, Oil, Salt",Keema,Dinner,Hard,16,535,India,Authentic Culinary Database
150,BBQ Ribs,Grains/Legumes,American,"BBQ, Basic Spices, Oil, Salt",BBQ,Snack,Medium,23,392,India,Authentic Culinary Database
151,Moong Dal Payasam,Grains/Legumes,Indian,"Moong Dal, Basic Spices, Oil, Salt",Moong Dal,Snack,Hard,43,176,India,Authentic Culinary Database
152,Dal Khichdi,Grains/Legumes,Indian,"Dal, Basic Spices, Oil, Salt",Dal,Dinner,Medium,44,389,India,Authentic Culinary Database
153,Vegetable Pulao,Grains/Legumes,Indian,"Basmati Rice, Mixed Vegetables, Whole Spices",Pulao,Lunch,Easy,58,693,India,Authentic Culinary Database
154,Rasamm,Produce,Indian,"Rasamm, Basic Spices, Oil, Salt",Rasamm,Dinner,Easy,20,420,India,Authentic Culinary Database
155,Vada,Grains/Legumes,Indian,"Vada, Basic Spices, Oil, Salt",Vada,Lunch,Easy,35,234,India,Authentic Culinary Database
156,Kung Pao Chicken,Protein,Chinese,"Kung Pao, Peanuts, Soy Sauce, Chili",Kung Pao,Lunch,Hard,18,155,India,Authentic Culinary Database
157,Rajma Masala,Grains/Legumes,Indian,"Rajma, Basic Spices, Oil, Salt",Rajma,Dinner,Easy,27,151,India,Authentic Culinary Database
158,Kashmiri Pulao,Grains/Legumes,Indian,"Kashmiri, Basic Spices, Oil, Salt",Pulao,Breakfast,Medium,56,671,India,Authentic Culinary Database
159,Curd Rice,Grains/Legumes,Indian,"Curd, Basic Spices, Oil, Salt",Rice,Dinner,Hard,15,611,India,Authentic Culinary Database
160,Kung Pao Chicken,Protein,Chinese,"Kung Pao, Peanuts, Soy Sauce, Chili",Kung Pao,Snack,Easy,37,260,India,Authentic Culinary Database
161,Black Chana Curry,Grains/Legumes,Indian,"Black Chana, Basic Spices, Oil, Salt",Black,Dinner,Easy,34,699,India,Authentic Culinary Database
162,Vegetable Pulao,Grains/Legumes,Indian,"Basmati Rice, Mixed Vegetables, Whole Spices",Pulao,Dinner,Hard,52,521,India,Authentic Culinary Database
163,Jeera Aloo,Produce,Indian,"Jeera, Basic Spices, Oil, Salt",Jeera,Snack,Hard,59,397,India,Authentic Culinary Database
164,Fried Rice,Grains/Legumes,Chinese,"Fried, Basic Spices, Oil, Salt",Rice,Snack,Hard,19,394,India,Authentic Culinary Database
165,Quesadillas,Grains/Legumes,Mexican,"Quesadillas, Basic Spices, Oil, Salt",Quesadillas,Breakfast,Easy,49,560,India,Authentic Culinary Database
166,Bisi Bele Bath,Grains/Legumes,Indian,"Bisi Bele, Basic Spices, Oil, Salt",Bisi Bele,Lunch,Hard,55,603,India,Authentic Culinary Database
167,Chow Mein,Protein,Chinese,"Chow, Basic Spices, Oil, Salt",Chow,Breakfast,Easy,16,635,India,Authentic Culinary Database
168,Lasagna,Dairy,Italian,"Lasagna, Basic Spices, Oil, Salt",Lasagna,Lunch,Easy,19,645,India,Authentic Culinary Database
169,Pancakes,Grains/Legumes,American,"Pancakes, Basic Spices, Oil, Salt",Pancakes,Breakfast,Easy,49,201,India,Authentic Culinary Database
170,Beef Enchiladas,Produce,Mexican,"Beef, Basic Spices, Oil, Salt",Beef,Breakfast,Easy,58,304,India,Authentic Culinary Database
171,Moong Dal Payasam,Grains/Legumes,Indian,"Moong Dal, Basic Spices, Oil, Salt",Moong Dal,Dinner,Easy,38,538,India,Authentic Culinary Database
172,Seekh Kabab,Protein,Indian,"Seekh, Basic Spices, Oil, Salt",Seekh,Lunch,Hard,17,497,India,Authentic Culinary Database
173,Cheeseburger,Grains/Legumes,American,"Cheeseburger, Beef Patty, Cheese, Lettuce, Tomato",Cheeseburger,Dinner,Hard,29,442,India,Authentic Culinary Database
174,Churros,Grains/Legumes,Mexican,"Churros, Basic Spices, Oil, Salt",Churros,Lunch,Easy,60,526,India,Authentic Culinary Database
175,Curd Rice,Grains/Legumes,Indian,"Curd, Basic Spices, Oil, Salt",Rice,Breakfast,Medium,40,282,India,Authentic Culinary Database
176,Bisi Bele Bath,Grains/Legumes,Indian,"Bisi Bele, Basic Spices, Oil, Salt",Bisi Bele,Dinner,Easy,47,692,India,Authentic Culinary Database
177,Kashmiri Pulao,Grains/Legumes,Indian,"Kashmiri, Basic Spices, Oil, Salt",Pulao,Breakfast,Easy,16,502,India,Authentic Culinary Database
178,Vegetable Pulao,Grains/Legumes,Indian,"Basmati Rice, Mixed Vegetables, Whole Spices",Pulao,Dinner,Easy,15,304,India,Authentic Culinary Database
179,Chicken Tacos,Grains/Legumes,Mexican,"Tortilla, Chicken, Salsa, Lettuce, Cheese",Tacos,Snack,Hard,35,197,India,Authentic Culinary Database
180,Fish Moilee,Protein,Indian,"Fish, Basic Spices, Oil, Salt",Fish,Breakfast,Easy,16,674,India,Authentic Culinary Database
181,Fish Moilee,Protein,Indian,"Fish, Basic Spices, Oil, Salt",Fish,Breakfast,Hard,44,382,India,Authentic Culinary Database
182,Pongal,Grains/Legumes,Indian,"Pongal, Basic Spices, Oil, Salt",Pongal,Snack,Hard,35,613,India,Authentic Culinary Database
183,Tandoori Chicken,Protein,Indian,"Tandoori, Basic Spices, Oil, Salt",Tandoori,Breakfast,Easy,36,507,India,Authentic Culinary Database
184,Mutton Fry,Protein,Indian,"Mutton, Basic Spices, Oil, Salt",Mutton,Breakfast,Hard,54,192,India,Authentic Culinary Database
185,Kashmiri Pulao,Grains/Legumes,Indian,"Kashmiri, Basic Spices, Oil, Salt",Pulao,Lunch,Hard,51,242,India,Authentic Culinary Database
